Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e96032ea,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841169,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081200.0,"Zhu, Chen, Xu,Wang",1675,19990725.0,中国 陕西省,1800.0,Meadow,有花无果
e96036b5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841163,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,刘昉勋,852,19510424.0,中国 江苏省,,Culliuated in field,有花无果
e96038e1,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841159,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,王崇书,199,19861004.0,中国 湖北省,,山坡麓角,有花无果
e96037c9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841160,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,,s.n.,19780000.0,中国 河北省,1350.0,山坡草丛下,有花无果
e960396f,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841157,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20081100.0,,0120,19750528.0,中国 北京市,,山坡,有花无果
e9603853,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841158,维管植物门,蔷薇目,蔷薇科,委陵菜属,Potentilla reptans Linn. var. sericophylla Franch.,绢毛匍匐委陵菜,谷粹芝,20090224.0,,2596,19590817.0,中国 河北省,1500.0,山顶草地,有花无果
e9601e4b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841200,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria gracilis Losinsk.,纤细草莓,谷粹芝,20090224.0,傅德志,84131,19840000.0,中国 四川省,,路边，山坡,有花无果
e9602080,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841620,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa omeiensis Rolfe,峨眉蔷薇,谷粹芝,20090318.0,徐洪贵,0548,19950531.0,中国 四川省,2540.0,山坡,有花无果
e96022ac,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841617,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa henryi Boulenger,软条七蔷薇,谷粹芝,20090318.0,李光照,13796,19940704.0,中国 广西壮族自治区,175.0,山谷，路旁，灌丛,有花无果
e9601f64,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841621,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa omeiensis Rolfe,峨眉蔷薇,谷粹芝,20090318.0,孙学刚等,06162,20060801.0,中国 甘肃省,2543.0,,无花有果
e960210b,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841618,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sertata Rolfe,钝叶蔷薇,谷粹芝,20090318.0,孙学刚等,2701,20020512.0,中国 甘肃省,,,有花无果
e9602196,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841619,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sertata Rolfe,钝叶蔷薇,谷粹芝,20090318.0,,6907,19950706.0,中国 四川省,2400.0,林下,有花无果
e9601ca7,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841203,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria gracilis Losinsk.,纤细草莓,谷粹芝,20090223.0,任再金,1-607,19820525.0,中国 四川省,2950.0,高山草地,有花无果
e9601ed5,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841201,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria vesca Linn.,野草莓,谷粹芝,20090224.0,Luozhongchun,1801,19980403.0,中国 湖南省,300.0,早土栽培,有花无果
e9601ff6,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841622,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa sweginzowii Koehne,扁刺蔷薇,谷粹芝,20090318.0,孙学刚等,06284,20060805.0,中国 甘肃省,2540.0,,有花无果
e9601dba,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841202,维管植物门,蔷薇目,蔷薇科,草莓属,Fragaria daltoniana J.Gay,裂萼草莓,谷粹芝,20090223.0,毛建平,2005015,20040000.0,中国 西藏自治区,3052.0,林间空地,有花无果
e9602337,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841615,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa laevigata Tausch ex Opiz,金樱子,谷粹芝,20090318.0,李光照,14366,19941027.0,中国 广西壮族自治区,200.0,路旁，灌丛，普遍散生,无花有果
e9602221,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841616,维管植物门,蔷薇目,蔷薇科,蔷薇属,Rosa cymosa Tratt.,小果蔷薇,谷粹芝,20090318.0,刘淼等,A160082,20060825.0,中国 安徽省,550.0,生于路边灌丛,无花有果
e9600ac0,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841661,维管植物门,水龙骨目,凤尾蕨科,粉背蕨属,Aleuritopteris argentea (S.G.Gmel.) Fée var. obscura (Christ)Ching,,段俊喜,19591225.0,,170,19570606.0,中国 河北省,,岩石上,有孢子囊
e9600faa,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841227,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia parvifolia C.K.Schneider,小叶石楠,谷粹芝,20090220.0,谭策铭,9605016,19960502.0,中国 江西省,800.0,山中坡疏林中,有花无果
e9601263,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841222,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia beauverdiana C.K.Schneider,中华石楠,谷粹芝,20090220.0,朱大海,4027,20070625.0,中国 四川省,1700.0,山坡林中,无花有果
e96012ec,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841223,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia beauverdiana C.K.Schneider,中华石楠,谷粹芝,20090217.0,朱大海,3723,20070523.0,中国 四川省,1400.0,山谷林中,有花无果
e9600a35,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841660,维管植物门,水龙骨目,凤尾蕨科,粉背蕨属,Aleuritopteris argentea (S.G.Gmel.) Fée var. obscura (Christ)Ching,,段俊喜,19600305.0,张义君,472,19571003.0,中国 北京市,,,有孢子囊
e96011da,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841224,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia bodinieri Leveille,贵州石楠,谷粹芝,20090220.0,韩裕丰等,81-541,19810601.0,中国 云南省,1950.0,路旁林内,有花无果
e9601032,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841228,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia parvifolia C.K.Schneider,小叶石楠,谷粹芝,20090220.0,谭策铭,9605004,19960501.0,中国 江西省,550.0,山脚灌丛,有花无果
e96013fe,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841221,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia beauverdiana C.K.Schneider,中华石楠,谷粹芝,20090220.0,华南生物多样性调查队 金效华,5097,20031007.0,中国 海南省,800.0,林中,无花有果
e9600e97,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01841229,维管植物门,蔷薇目,蔷薇科,石楠属,Photinia parvifolia C.K.Schneider,小叶石楠,谷粹芝,20090220.0,谭策铭,93576,19931021.0,中国 江西省,1100.0,山坡阔叶林中,无花有果
