Collection ID,Image Link,Phylum (门),Order (目),Family (科),Genus (属),Scientific Name,Chinese Name,Identified By,Date Identified,Collector,Collection Number,Collection Date,Collection Location,Altitude,Habitat,Phenology
e9263721,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01868432,维管植物门,茄目,茄科,茄属,Solanum americanum Mill.,少花龙葵,路安民,20110406.0,刘正宇,183956,20090415.0,中国 重庆市,250,湖边荒地草丛中,有花无果
e95a1e82,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01844064,维管植物门,禾本目,莎草科,薹草属,Carex remotiuscula Wahlenb.,丝列苔草,梁松筠,20090317.0,刘瑛,13156,19500722.0,中国 河北省,1700~1800,Mt.slope,有花无果
e95bc3a9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01843300,维管植物门,壳斗目,壳斗科,水青冈属,Fagus lucida Rehder & E.H.Wils.,光叶水青冈,李安仁,20101000.0,唐宇丹,CZ-33（2004-288,20041006.0,中国 湖南省,1200.0,湿润 山顶,无花有果
e9466247,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01853331,维管植物门,水龙骨目,水龙骨科,石韦属,Pyrrosia petiolosa (H.Christ) Ching,有柄石韦,王丽,20110115.0,PE-古蔺考察队,0629,20100905.0,中国 四川省,1100~1580,山谷，林中,有孢子囊
e9546e91,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01846735,维管植物门,蔷薇目,荨麻科,艾麻属,Laportea bulbifera Wedd.,珠芽艾麻,林祁,20100609.0,"税玉良,陈文红等",70005,20060218.0,中国 云南省,1600~1700,at the slope of the mossoon evergreen broad-leaved forest,无花有果
e9625c62,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01840186,维管植物门,金虎尾目,堇菜科,堇菜属,Viola variegata Vukot.,斑叶堇菜,Y.S.Chen,20040000.0,陈又生,4138,20040602.0,中国 黑龙江省,565,Quercus forest,有花无果
e918ccc9,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01878531,维管植物门,杜鹃花目,凤仙花科,凤仙花属,Impatiens epilobioides Y.L.Chen,柳叶菜状凤仙花,陈艺林,20120209.0,236任务组,0189,19720731.0,中国 四川省,1000,林下,有花无果
e9170aae,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01879371,维管植物门,杜鹃花目,凤仙花科,凤仙花属,Impatiens oxyanthera Hook.f.,红雉凤仙花,陈艺林,20120112.0,徐洪贵,5914,19950710.0,中国 四川省,1330,竹林下,有花无果
e93db406,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01857388,维管植物门,虎耳草目,虎耳草科,金腰属,Chrysosplenium davidianum Decne. ex Maxim.,锈毛金腰,谷粹芝,20100901.0,"龙茹,郑宝汇",090146,20090504.0,中国 湖北省,1500,林下,无花无果
e9696e12,https://www.cvh.ac.cn/controller/spms/image.php?institutionCode=PE&catalogNumber=01836848,维管植物门,菊目,菊科,泽兰属,Eupatorium chinense Linn.,多须公,陈艺林,20090223.0,方文哲等,72,19600813.0,中国 江苏省,150.0,高草杂丛中,有花无果
